chrom_5p	bkpos_5p	strand_5p	chrom_3p	bkpos_3p	strand_3p	avg_cn
chr3	75650496	+	chr3	75650496	-	40
chr3	75638087	+	chr3	75638087	-	71
chr3	75673007	+	chr3	75673007	-	42
chr3	75650154	+	chr3	75650154	-	68
chr3	75714364	+	chr3	75714364	-	67
chr3	75729130	+	chr3	75729130	-	34
chr3	75679439	+	chr3	75679439	-	49
chr3	75735488	+	chr3	75735488	-	36
chr3	75716236	+	chr3	75716236	-	62

Group:896 Translocation:False
chr3	75965471	+	chr3	75965471	-	30

Group:897 Translocation:False
chr3	76283136	+	chr3	76283136	-	27
chr3	76287978	+	chr3	76287978	-	30

Group:898 Translocation:False
chr3	76436159	+	chr3	76436159	-	27

Group:899 Translocation:False
chr3	76567620	+	chr3	76567620	-	30
chr3	76655439	+	chr3	76655439	-	29

Group:900 Translocation:False
chr3	76834083	+	chr3	76834083	-	27
chr3	76916537	+	chr3	76916537	-	26
chr3	76936719	+	chr3	76936719	-	27

Group:901 Translocation:False
chr3	77277178	+	chr3	77277178	-	23
chr3	77290448	+	chr3	77290448	-	25
chr3	77317795	+	chr3	77317795	-	28
chr3	77355126	+	chr3	77355126	-	24
chr3	77294296	+	chr3	77294296	-	29
chr3	77322887	+	chr3	77322887	-	26

Group:902 Translocation:False
chr3	77782943	+	chr3	77782943	-	39
chr3	77787140	+	chr3	77787140	-	35

Group:903 Translocation:False
chr3	78230968	+	chr3	78230968	-	32

Group:904 Translocation:False
chr3	78554596	+	chr3	78554596	-	26
chr3	78583007	+	chr3	78583007	-	24
chr3	78583205	+	chr3	78583205	-	23
chr3	78583076	+	chr3	78583076	-	24
chr3	78583390	+	chr3	78583390	-	24

Group:905 Translocation:False
chr3	79487183	+	chr3	79487183	-	31
chr3	79496387	+	chr3	79496387	-	24
chr3	79527829	+	chr3	79527829	-	30
chr3	79502728	+	chr3	79502728	-	31
chr3	79612872	+	chr3	79612872	-	29

Group:906 Translocation:False
chr3	79771655	+	chr3	79771655	-	18

Group:907 Translocation:False
chr3	80025063	+	chr3	80025063	-	24

Group:908 Translocation:False
chr3	80442664	+	chr3	80442664	-	25
chr3	80506742	+	chr3	80506742	-	27

Group:909 Translocation:False
chr3	80622014	+	chr3	80622014	-	22

Group:910 Translocation:False
chr3	80742784	+	chr3	80742784	-	25

Group:911 Translocation:False
chr3	81015110	+	chr3	81015110	-	31

Group:912 Translocation:False
chr3	82006983	+	chr3	82006983	-	19
chr3	82017678	+	chr3	82017678	-	26
chr3	82095700	+	chr3	82095700	-	13

Group:913 Translocation:False
chr3	82660969	+	chr3	82660969	-	18

Group:914 Translocation:False
chr3	82916374	+	chr3	82916374	-	24
chr3	82916915	+	chr3	82916915	-	22
chr3	82917087	+	chr3	82917087	-	20

Group:915 Translocation:False
chr3	83053232	+	chr3	83053232	-	25

Group:916 Translocation:False
chr3	83254914	+	chr3	83254914	-	30

Group:917 Translocation:False
chr3	83508799	+	chr3	83508799	-	25

Group:918 Translocation:False
chr3	83693554	+	chr3	83693554	-	27
chr3	83707509	+	chr3	83707509	-	24

Group:919 Translocation:False
chr3	83845448	+	chr3	83845448	-	30

Group:920 Translocation:False
chr3	84459804	+	chr3	84459804	-	19
chr3	84516389	+	chr3	84516389	-	24
chr3	84545393	+	chr3	84545393	-	25
chr3	84544122	+	chr3	84544122	-	23

Group:921 Translocation:False
chr3	84782968	+	chr3	84782968	-	17

Group:922 Translocation:False
chr3	84925042	+	chr3	84925042	-	22

Group:923 Translocation:False
chr3	85212848	+	chr3	85212848	-	28
chr3	85266565	+	chr3	85266565	-	13

Group:924 Translocation:False
chr3	85431860	+	chr3	85431860	-	24
chr3	85471687	+	chr3	85471687	-	20
chr3	85541774	+	chr3	85541774	-	12
chr3	85578001	+	chr3	85578001	-	26

Group:925 Translocation:False
chr3	86080081	+	chr3	86080081	-	18

Group:926 Translocation:False
chr3	86445411	+	chr3	86445411	-	22

Group:927 Translocation:False
chr3	86860247	+	chr3	86860247	-	21

Group:928 Translocation:False
chr3	87471318	+	chr3	87471318	-	26
chr3	87548439	+	chr3	87548439	-	21
chr3	87570690	+	chr3	87570690	-	20

Group:929 Translocation:False
chr3	88245286	+	chr3	88245286	-	27
chr3	88268351	+	chr3	88268351	-	18

Group:930 Translocation:False
chr3	88486971	+	chr3	88486971	-	21
chr3	88522029	+	chr3	88522029	-	23

Group:931 Translocation:False
chr3	88774211	+	chr3	88774211	-	26
chr3	88803695	+	chr3	88803695	-	16

Group:932 Translocation:False
chr3	88973195	+	chr3	88973195	-	25
chr3	89001790	+	chr3	89001790	-	19
chr3	89012495	+	chr3	89012495	-	18

Group:933 Translocation:False
chr3	89192423	+	chr3	89192423	-	19
chr3	89208421	+	chr3	89208421	-	26
chr3	89257673	+	chr3	89257673	-	23

Group:934 Translocation:True
chr3	89460367	-	chr7	62334070	-	32
chr7	62334070	+	chr3	89460367	+	26

Group:935 Translocation:False
chr3	89610880	+	chr3	89610880	-	24
chr3	89610952	+	chr3	89610952	-	24
chr3	89638810	+	chr3	89638810	-	29

Group:936 Translocation:False
chr3	90403250	+	chr3	90403250	-	16
chr3	90410093	+	chr3	90410093	-	13
chr3	90481189	+	chr3	90481189	-	35
chr3	90479383	+	chr3	90479383	-	15
chr3	90498603	+	chr3	90498603	-	25
chr3	90577013	+	chr3	90577013	-	16

Group:937 Translocation:False
chr3	90699770	+	chr3	90699770	-	19
chr3	90720537	+	chr3	90720537	-	11

Group:938 Translocation:False
chr3	91345078	+	chr3	91345078	-	27
chr3	91360997	+	chr3	91360997	-	16
chr3	91379173	+	chr3	91379173	-	21
chr3	91361105	+	chr3	91361105	-	13
chr3	91438798	+	chr3	91438798	-	24

Group:939 Translocation:False
chr3	91542790	+	chr3	91542790	-	56

Group:940 Translocation:False
chr3	91881593	+	chr3	91881593	-	2

Group:941 Translocation:False
chr3	93470255	+	chr3	93470255	-	1020
chr3	93470370	+	chr3	93470370	-	172

Group:942 Translocation:False
chr3	93768300	+	chr3	93768300	-	18
chr3	93841194	+	chr3	93841194	-	18

Group:943 Translocation:False
chr3	94043559	+	chr3	94043559	-	20

Group:944 Translocation:False
chr3	94460355	+	chr3	94460355	-	17

Group:945 Translocation:False
chr3	94596665	+	chr3	94596665	-	24

Group:946 Translocation:False
chr3	94929819	+	chr3	94929819	-	20

Group:947 Translocation:False
chr3	95293933	+	chr3	95293933	-	22
chr3	95365913	+	chr3	95365913	-	28
chr3	95448248	+	chr3	95448248	-	17
chr3	95490830	+	chr3	95490830	-	20

Group:948 Translocation:False
chr3	95641308	+	chr3	95641308	-	34

Group:949 Translocation:False
chr3	95745263	+	chr3	95745263	-	23
chr3	95784064	+	chr3	95784064	-	15
chr3	95825553	+	chr3	95825553	-	20
chr3	95784064	+	chr3	95784064	-	15

Group:950 Translocation:False
chr3	96004661	+	chr3	96004661	-	15
chr3	96005342	+	chr3	96005342	-	17

Group:951 Translocation:False
chr3	96171161	+	chr3	96171161	-	20

Group:952 Translocation:False
chr3	96296706	+	chr3	96296706	-	19

Group:953 Translocation:False
chr3	96663964	+	chr3	96663964	-	23
chr3	96695523	+	chr3	96695523	-	26

Group:954 Translocation:False
chr3	97001017	+	chr3	97001017	-	25
chr3	97085949	+	chr3	97085949	-	21

Group:955 Translocation:True
chr3	97950347	-	chr21	25767455	-	25
chr3	98040954	+	chr3	98040954	-	31
chr21	25767455	+	chr3	97950347	+	16

Group:956 Translocation:False
chr3	98399219	+	chr3	98399219	-	31

Group:957 Translocation:False
chr3	98689371	+	chr3	98689371	-	13

Group:958 Translocation:False
chr3	98905404	+	chr3	98905404	-	22

Group:959 Translocation:False
chr3	99007920	+	chr3	99007920	-	15
chr3	99011552	+	chr3	99011552	-	10
chr3	99041373	+	chr3	99041373	-	25

Group:960 Translocation:False
chr3	99180308	+	chr3	99180308	-	16

Group:961 Translocation:False
chr3	99314760	+	chr3	99314760	-	22

Group:962 Translocation:False
chr3	99589200	+	chr3	99589200	-	28

Group:963 Translocation:False
chr3	99773817	+	chr3	99773817	-	18

Group:964 Translocation:False
chr3	99936542	+	chr3	99936542	-	17

Group:965 Translocation:False
chr3	100451756	+	chr3	100451756	-	26
chr3	100458407	+	chr3	100458407	-	33

Group:966 Translocation:False
chr3	100604873	+	chr3	100604873	-	31

Group:967 Translocation:False
chr3	100749259	+	chr3	100749259	-	28

Group:968 Translocation:False
chr3	101018378	+	chr3	101018378	-	24

Group:969 Translocation:False
chr3	101149603	+	chr3	101149603	-	22

Group:970 Translocation:False
chr3	101410845	+	chr3	101410845	-	33
chr3	101439809	+	chr3	101439809	-	22

Group:971 Translocation:False
chr3	101710654	+	chr3	101710654	-	17

Group:972 Translocation:False
chr3	101857185	+	chr3	101857185	-	16

Group:973 Translocation:False
chr3	102044514	+	chr3	102044514	-	17
chr3	102064752	+	chr3	102064752	-	26
chr3	102098200	+	chr3	102098200	-	35

Group:974 Translocation:False
chr3	102375845	+	chr3	102375845	-	19

Group:975 Translocation:False
chr3	102478482	+	chr3	102478482	-	35
chr3	102575682	+	chr3	102575682	-	26

Group:976 Translocation:False
chr3	102806114	+	chr3	102806114	-	20
chr3	102824532	+	chr3	102824532	-	14
chr3	102829962	+	chr3	102829962	-	15
chr3	102829527	+	chr3	102829527	-	13
chr3	102850766	+	chr3	102850766	-	20

Group:977 Translocation:False
chr3	103384744	+	chr3	103384744	-	27
chr3	103402054	+	chr3	103402054	-	22

Group:978 Translocation:False
chr3	103553539	+	chr3	103553539	-	29
chr3	103582787	+	chr3	103582787	-	19
chr3	103593527	+	chr3	103593527	-	21

Group:979 Translocation:False
chr3	103855110	+	chr3	103855110	-	27

Group:980 Translocation:False
chr3	104078981	+	chr3	104078981	-	27
chr3	104163457	+	chr3	104163457	-	28

Group:981 Translocation:False
chr3	104265599	+	chr3	104265599	-	32

Group:982 Translocation:False
chr3	104565138	+	chr3	104565138	-	18

Group:983 Translocation:False
chr3	105052096	+	chr3	105052096	-	16

Group:984 Translocation:False
chr3	105182192	+	chr3	105182192	-	25
chr3	105259559	+	chr3	105259559	-	22
chr3	105338406	+	chr3	105338406	-	22

Group:985 Translocation:False
chr3	105630041	+	chr3	105630041	-	23
chr3	105663102	+	chr3	105663102	-	33

Group:986 Translocation:False
chr3	106084092	+	chr3	106084092	-	19
chr3	106111385	+	chr3	106111385	-	21

Group:987 Translocation:False
chr3	106315595	+	chr3	106315595	-	30

Group:988 Translocation:False
chr3	106508514	+	chr3	106508514	-	20
chr3	106563204	+	chr3	106563204	-	34
chr3	106570341	+	chr3	106570341	-	31

Group:989 Translocation:False
chr3	106870932	+	chr3	106870932	-	20
chr3	106889425	+	chr3	106889425	-	14

Group:990 Translocation:False
chr3	107307722	+	chr3	107307722	-	24
chr3	107335063	+	chr3	107335063	-	22
chr3	107391198	+	chr3	107391198	-	25

Group:991 Translocation:False
chr3	107584165	+	chr3	107584165	-	24

Group:992 Translocation:False
chr3	108026265	+	chr3	108026265	-	16

Group:993 Translocation:False
chr3	108471072	+	chr3	108471072	-	16
chr3	108569181	+	chr3	108569181	-	20
chr3	108575561	+	chr3	108575561	-	15
chr3	108668765	+	chr3	108668765	-	17
chr3	108631055	+	chr3	108631055	-	21
chr3	108759614	+	chr3	108759614	-	20

Group:994 Translocation:False
chr3	108872708	+	chr3	108872708	-	19

Group:995 Translocation:False
chr3	109529324	+	chr3	109529324	-	25

Group:996 Translocation:False
chr3	110298018	+	chr3	110298018	-	27

Group:997 Translocation:False
chr3	110448089	+	chr3	110448089	-	22

Group:998 Translocation:False
chr3	110568919	+	chr3	110568919	-	24

Group:999 Translocation:False
chr3	110694547	+	chr3	110694547	-	20

Group:1000 Translocation:False
chr3	110799783	+	chr3	110799783	-	18

Group:1001 Translocation:False
chr3	111210549	+	chr3	111210549	-	34

Group:1002 Translocation:False
chr3	111444271	+	chr3	111444271	-	18
chr3	111507515	+	chr3	111507515	-	25

Group:1003 Translocation:False
chr3	111780302	+	chr3	111780302	-	27
chr3	111866012	+	chr3	111866012	-	25

Group:1004 Translocation:False
chr3	111972575	+	chr3	111972575	-	15

Group:1005 Translocation:False
chr3	112205621	+	chr3	112205621	-	24
chr3	112271393	+	chr3	112271393	-	27

Group:1006 Translocation:False
chr3	112557186	+	chr3	112557186	-	33

Group:1007 Translocation:False
chr3	112734645	+	chr3	112734645	-	24

Group:1008 Translocation:False
chr3	113173254	+	chr3	113173254	-	35
chr3	113236286	+	chr3	113236286	-	20
chr3	113320428	+	chr3	113320428	-	19

Group:1009 Translocation:False
chr3	113480931	+	chr3	113480931	-	20
chr3	113484687	+	chr3	113484687	-	20

Group:1010 Translocation:False
chr3	113911696	+	chr3	113911696	-	29

Group:1011 Translocation:False
chr3	114184642	+	chr3	114184642	-	28

Group:1012 Translocation:False
chr3	114286914	+	chr3	114286914	-	26

Group:1013 Translocation:False
chr3	114748352	+	chr3	114748352	-	26
chr3	114839442	+	chr3	114839442	-	27

Group:1014 Translocation:False
chr3	115196243	+	chr3	115196243	-	24
chr3	115257950	+	chr3	115257950	-	24

Group:1015 Translocation:False
chr3	117014086	+	chr3	117014086	-	28
chr3	117023770	+	chr3	117023770	-	28
chr3	117050758	+	chr3	117050758	-	30
chr3	117050499	+	chr3	117050499	-	31

Group:1016 Translocation:False
chr3	118554686	+	chr3	118554686	-	30
chr3	118615608	+	chr3	118615608	-	31

Group:1017 Translocation:False
chr3	119279911	+	chr3	119279911	-	20
chr3	119307940	+	chr3	119307940	-	23

Group:1018 Translocation:False
chr3	119422123	+	chr3	119422123	-	28

Group:1019 Translocation:False
chr3	119608254	+	chr3	119608254	-	18

Group:1020 Translocation:False
chr3	120211970	+	chr3	120211970	-	23

Group:1021 Translocation:False
chr3	120413800	+	chr3	120413800	-	16

Group:1022 Translocation:False
chr3	120600108	+	chr3	120600108	-	23
chr3	120622087	+	chr3	120622087	-	20

Group:1023 Translocation:False
chr3	121190756	+	chr3	121190756	-	30
chr3	121218185	+	chr3	121218185	-	29

Group:1024 Translocation:False
chr3	121360010	+	chr3	121360010	-	17

Group:1025 Translocation:False
chr3	121665400	+	chr3	121665400	-	16

Group:1026 Translocation:False
chr3	122252409	+	chr3	122252409	-	21

Group:1027 Translocation:False
chr3	122439505	+	chr3	122439505	-	22

Group:1028 Translocation:False
chr3	122726893	+	chr3	122726893	-	26

Group:1029 Translocation:False
chr3	123260131	+	chr3	123260131	-	14

Group:1030 Translocation:False
chr3	123396050	+	chr3	123396050	-	22
chr3	123396053	+	chr3	123396053	-	22
chr3	123490418	+	chr3	123490418	-	16
chr3	123407765	+	chr3	123407765	-	26
chr3	123554134	+	chr3	123554134	-	19

Group:1031 Translocation:False
chr3	124265298	+	chr3	124265298	-	23
chr3	124286139	+	chr3	124286139	-	14

Group:1032 Translocation:False
chr3	124437143	+	chr3	124437143	-	29

Group:1033 Translocation:False
chr3	124642800	+	chr3	124642800	-	20
chr3	124646390	+	chr3	124646390	-	18

Group:1034 Translocation:False
chr3	124751346	+	chr3	124751346	-	22

Group:1035 Translocation:False
chr3	124922700	+	chr3	124922700	-	25
chr3	124987952	+	chr3	124987952	-	36
chr3	125034192	+	chr3	125034192	-	19
chr3	125089785	+	chr3	125089785	-	18
chr3	125155625	+	chr3	125155625	-	36

Group:1036 Translocation:False
chr3	125532803	+	chr3	125532803	-	29
chr3	125625254	+	chr3	125625254	-	32

Group:1037 Translocation:False
chr3	125776872	+	chr3	125776872	-	18
chr3	125805551	+	chr3	125805551	-	23
chr3	125856693	+	chr3	125856693	-	22

Group:1038 Translocation:False
chr3	126059263	+	chr3	126059263	-	29

Group:1039 Translocation:False
chr3	126371343	+	chr3	126371343	-	25

Group:1040 Translocation:False
chr3	126535083	+	chr3	126535083	-	16
chr3	126535555	+	chr3	126535555	-	17
chr3	126539875	+	chr3	126539875	-	22

Group:1041 Translocation:False
chr3	127056226	+	chr3	127056226	-	24
chr3	127135596	+	chr3	127135596	-	23

Group:1042 Translocation:False
chr3	127289915	+	chr3	127289915	-	22
chr3	127296700	+	chr3	127296700	-	22

Group:1043 Translocation:False
chr3	128587120	+	chr3	128587120	-	25
chr3	128587120	+	chr3	128587120	-	28
chr3	128676365	+	chr3	128676365	-	24
chr3	128657390	+	chr3	128657390	-	25
chr3	128697341	+	chr3	128697341	-	20
chr3	128795751	+	chr3	128795751	-	25
chr3	128801450	+	chr3	128801450	-	25

Group:1044 Translocation:False
chr3	129339097	+	chr3	129339097	-	23

Group:1045 Translocation:False
chr3	129530508	+	chr3	129530508	-	17
chr3	129538525	+	chr3	129538525	-	24

Group:1046 Translocation:False
chr3	129971770	+	chr3	129971770	-	24

Group:1047 Translocation:False
chr3	130082346	+	chr3	130082346	-	32
chr3	130167180	+	chr3	130167180	-	25
chr3	130219574	+	chr3	130219574	-	26
chr3	130283564	+	chr3	130283564	-	35

Group:1048 Translocation:False
chr3	131317821	+	chr3	131317821	-	20

Group:1049 Translocation:False
chr3	131792670	+	chr3	131792670	-	40

Group:1050 Translocation:False
chr3	131978167	+	chr3	131978167	-	21
chr3	132070642	+	chr3	132070642	-	26

Group:1051 Translocation:False
chr3	132172924	+	chr3	132172924	-	35
chr3	132173061	+	chr3	132173061	-	37
chr3	132215271	+	chr3	132215271	-	20

Group:1052 Translocation:False
chr3	132969791	+	chr3	132969791	-	18

Group:1053 Translocation:False
chr3	133078156	+	chr3	133078156	-	25
chr3	133129949	+	chr3	133129949	-	28

Group:1054 Translocation:False
chr3	133414717	+	chr3	133414717	-	21
chr3	133415351	+	chr3	133415351	-	19
chr3	133425980	+	chr3	133425980	-	17
chr3	133425964	+	chr3	133425964	-	17

Group:1055 Translocation:False
chr3	133965626	+	chr3	133965626	-	24
chr3	134058456	+	chr3	134058456	-	21
chr3	134063889	+	chr3	134063889	-	20

Group:1056 Translocation:False
chr3	134192440	+	chr3	134192440	-	31
chr3	134292207	+	chr3	134292207	-	27

Group:1057 Translocation:False
chr3	134399063	+	chr3	134399063	-	20

Group:1058 Translocation:False
chr3	134785621	+	chr3	134785621	-	25
chr3	134816053	+	chr3	134816053	-	21

Group:1059 Translocation:False
chr3	135183054	+	chr3	135183054	-	23
chr3	135192301	+	chr3	135192301	-	27

Group:1060 Translocation:False
chr3	135318223	+	chr3	135318223	-	22

Group:1061 Translocation:False
chr3	135421492	+	chr3	135421492	-	29

Group:1062 Translocation:False
chr3	135814877	+	chr3	135814877	-	26

Group:1063 Translocation:False
chr3	136893196	+	chr3	136893196	-	28

Group:1064 Translocation:False
chr3	137284413	+	chr3	137284413	-	27

Group:1065 Translocation:False
chr3	137720663	+	chr3	137720663	-	28

Group:1066 Translocation:False
chr3	138126527	+	chr3	138126527	-	17

Group:1067 Translocation:False
chr3	138872144	+	chr3	138872144	-	26
chr3	138906628	+	chr3	138906628	-	25

Group:1068 Translocation:False
chr3	139114433	+	chr3	139114433	-	30
chr3	139115609	+	chr3	139115609	-	28
chr3	139115850	+	chr3	139115850	-	26

Group:1069 Translocation:False
chr3	139325584	+	chr3	139325584	-	22

Group:1070 Translocation:True
chr3	139955612	+	chr3	139955612	-	38
chr3	140006329	-	chr9	83891338	-	23
chr9	83891338	+	chr3	140006329	+	41

Group:1071 Translocation:False
chr3	140419591	+	chr3	140419591	-	26

Group:1072 Translocation:False
chr3	140538108	+	chr3	140538108	-	20

Group:1073 Translocation:False
chr3	140692542	+	chr3	140692542	-	23

Group:1074 Translocation:True
chr3	140883171	+	chr3	140883171	-	23
chr3	140883231	+	chr3	140883231	-	23
chr18	74654847	-	chr3	140973686	+	41
chr3	140973686	-	chr18	74654847	+	40
chr3	140983539	+	chr3	140983539	-	29

Group:1075 Translocation:False
chr3	141219413	+	chr3	141219413	-	28
chr3	141303292	+	chr3	141303292	-	21

Group:1076 Translocation:False
chr3	141932450	+	chr3	141932450	-	21

Group:1077 Translocation:False
chr3	142159853	+	chr3	142159853	-	18
chr3	142259156	+	chr3	142259156	-	24

Group:1078 Translocation:False
chr3	143467736	+	chr3	143467736	-	28
chr3	143476000	+	chr3	143476000	-	22

Group:1079 Translocation:False
chr3	143797189	+	chr3	143797189	-	29

Group:1080 Translocation:False
chr3	143937108	+	chr3	143937108	-	16

Group:1081 Translocation:False
chr3	144210239	+	chr3	144210239	-	24
chr3	144214900	+	chr3	144214900	-	22

Group:1082 Translocation:False
chr3	144424712	+	chr3	144424712	-	25

Group:1083 Translocation:False
chr3	144573043	+	chr3	144573043	-	25

Group:1084 Translocation:False
chr3	144711222	+	chr3	144711222	-	17

Group:1085 Translocation:False
chr3	144969026	+	chr3	144969026	-	17
chr3	145036299	+	chr3	145036299	-	20
chr3	145078878	+	chr3	145078878	-	18

Group:1086 Translocation:False
chr3	145179753	+	chr3	145179753	-	21
chr3	145179892	+	chr3	145179892	-	22
chr3	145272635	+	chr3	145272635	-	9
chr3	145272498	+	chr3	145272498	-	8
chr3	145294145	+	chr3	145294145	-	26

Group:1087 Translocation:False
chr3	145505079	+	chr3	145505079	-	33
chr3	145526554	+	chr3	145526554	-	17
chr3	145548691	+	chr3	145548691	-	27

Group:1088 Translocation:False
chr3	146023175	+	chr3	146023175	-	25

Group:1089 Translocation:False
chr3	146192209	+	chr3	146192209	-	31

Group:1090 Translocation:False
chr3	146337872	+	chr3	146337872	-	26
chr3	146370257	+	chr3	146370257	-	29
chr3	146424976	+	chr3	146424976	-	23
chr3	146483503	+	chr3	146483503	-	26

Group:1091 Translocation:False
chr3	146608002	+	chr3	146608002	-	35
chr3	146613212	+	chr3	146613212	-	31

Group:1092 Translocation:False
chr3	146908045	+	chr3	146908045	-	28

Group:1093 Translocation:False
chr3	147354311	+	chr3	147354311	-	28

Group:1094 Translocation:False
chr3	147679080	+	chr3	147679080	-	21

Group:1095 Translocation:False
chr3	147890048	+	chr3	147890048	-	24

Group:1096 Translocation:False
chr3	148033133	+	chr3	148033133	-	25

Group:1097 Translocation:False
chr3	148376786	+	chr3	148376786	-	21

Group:1098 Translocation:False
chr3	148590737	+	chr3	148590737	-	30

Group:1099 Translocation:False
chr3	148892856	+	chr3	148892856	-	41
chr3	148969432	+	chr3	148969432	-	30

Group:1100 Translocation:False
chr3	149457774	+	chr3	149457774	-	35

Group:1101 Translocation:False
chr3	149764568	+	chr3	149764568	-	23

Group:1102 Translocation:False
chr3	149875897	+	chr3	149875897	-	24

Group:1103 Translocation:False
chr3	150135402	+	chr3	150135402	-	24
chr3	150221942	+	chr3	150221942	-	18

Group:1104 Translocation:False
chr3	150672264	+	chr3	150672264	-	24
chr3	150672276	+	chr3	150672276	-	24

Group:1105 Translocation:False
chr3	150969313	+	chr3	150969313	-	17
chr3	151031298	+	chr3	151031298	-	32

Group:1106 Translocation:False
chr3	151141186	+	chr3	151141186	-	30

Group:1107 Translocation:False
chr3	151430755	+	chr3	151430755	-	16

Group:1108 Translocation:False
chr3	151558027	+	chr3	151558027	-	22
chr3	151617319	+	chr3	151617319	-	17
chr3	151664750	+	chr3	151664750	-	5
chr3	151684628	+	chr3	151684628	-	23
chr3	151664876	+	chr3	151664876	-	8

Group:1109 Translocation:False
chr3	151791312	+	chr3	151791312	-	27
chr3	151820696	+	chr3	151820696	-	22
chr3	151893670	+	chr3	151893670	-	28
chr3	151939837	+	chr3	151939837	-	29

Group:1110 Translocation:False
chr3	152694234	+	chr3	152694234	-	18
chr3	152694637	+	chr3	152694637	-	19
chr3	152716635	+	chr3	152716635	-	17

Group:1111 Translocation:False
chr3	152852300	+	chr3	152852300	-	23
chr3	152893522	+	chr3	152893522	-	17

Group:1112 Translocation:False
chr3	153055880	+	chr3	153055880	-	19

Group:1113 Translocation:False
chr3	153444921	+	chr3	153444921	-	33

Group:1114 Translocation:False
chr3	153684015	+	chr3	153684015	-	30
chr3	153752092	+	chr3	153752092	-	21

Group:1115 Translocation:False
chr3	154180619	+	chr3	154180619	-	19

Group:1116 Translocation:False
chr3	155042939	+	chr3	155042939	-	18
chr3	155063526	+	chr3	155063526	-	21

Group:1117 Translocation:False
chr3	155309425	+	chr3	155309425	-	17
chr3	155322871	+	chr3	155322871	-	23

Group:1118 Translocation:False
chr3	155814056	+	chr3	155814056	-	30

Group:1119 Translocation:False
chr3	156100579	+	chr3	156100579	-	22

Group:1120 Translocation:False
chr3	156557350	+	chr3	156557350	-	32

Group:1121 Translocation:False
chr3	156666969	+	chr3	156666969	-	27

Group:1122 Translocation:False
chr3	157178574	+	chr3	157178574	-	24
chr3	157179176	+	chr3	157179176	-	24

Group:1123 Translocation:False
chr3	157304038	+	chr3	157304038	-	23

Group:1124 Translocation:False
chr3	157523675	+	chr3	157523675	-	22

Group:1125 Translocation:False
chr3	157848541	+	chr3	157848541	-	26

Group:1126 Translocation:False
chr3	158033266	+	chr3	158033266	-	19

Group:1127 Translocation:False
chr3	158228887	+	chr3	158228887	-	16
chr3	158245131	+	chr3	158245131	-	11

Group:1128 Translocation:False
chr3	158477798	+	chr3	158477798	-	19

Group:1129 Translocation:False
chr3	159051177	+	chr3	159051177	-	26
chr3	159092699	+	chr3	159092699	-	19

Group:1130 Translocation:False
chr3	159229709	+	chr3	159229709	-	21

Group:1131 Translocation:True
chr3	159680706	+	chr3	159680706	-	31
chr3	159688072	+	chr5	7665348	-	33
chr5	7665348	+	chr3	159688072	-	36

Group:1132 Translocation:False
chr3	159963478	+	chr3	159963478	-	30

Group:1133 Translocation:False
chr3	160736242	+	chr3	160736242	-	27

Group:1134 Translocation:False
chr3	160945128	+	chr3	160945128	-	19

Group:1135 Translocation:False
chr3	161369305	+	chr3	161369305	-	26

Group:1136 Translocation:False
chr3	161605235	+	chr3	161605235	-	21

Group:1137 Translocation:False
chr3	161927982	+	chr3	161927982	-	24

Group:1138 Translocation:False
chr3	162096126	+	chr3	162096126	-	20

Group:1139 Translocation:False
chr3	162199948	+	chr3	162199948	-	27

Group:1140 Translocation:False
chr3	162309652	+	chr3	162309652	-	25
chr3	162309658	+	chr3	162309658	-	25

Group:1141 Translocation:False
chr3	162753841	+	chr3	162753841	-	19

Group:1142 Translocation:False
chr3	163032745	+	chr3	163032745	-	24
chr3	163105301	+	chr3	163105301	-	40

Group:1143 Translocation:False
chr3	163557995	+	chr3	163557995	-	26

Group:1144 Translocation:False
chr3	163902654	+	chr3	163902654	-	20

Group:1145 Translocation:False
chr3	164010939	+	chr3	164010939	-	18

Group:1146 Translocation:False
chr3	164299743	+	chr3	164299743	-	25

Group:1147 Translocation:False
chr3	165065464	+	chr3	165065464	-	23

Group:1148 Translocation:False
chr3	165349720	+	chr3	165349720	-	21
chr3	165414220	+	chr3	165414220	-	34
chr3	165414290	+	chr3	165414290	-	34
chr3	165414283	+	chr3	165414283	-	34

Group:1149 Translocation:False
chr3	165797308	+	chr3	165797308	-	27

Group:1150 Translocation:False
chr3	166125555	+	chr3	166125555	-	29
chr3	166155666	+	chr3	166155666	-	31

Group:1151 Translocation:False
chr3	166428197	+	chr3	166428197	-	31

Group:1152 Translocation:False
chr3	166880309	+	chr3	166880309	-	26
chr3	166880572	+	chr3	166880572	-	28

Group:1153 Translocation:False
chr3	167545502	+	chr3	167545502	-	31
chr3	167610022	+	chr3	167610022	-	21
chr3	167684966	+	chr3	167684966	-	14
chr3	167759400	+	chr3	167759400	-	34

Group:1154 Translocation:False
chr3	168537995	+	chr3	168537995	-	23

